SiteID,FieldWetlandType,FieldVeldAge,FieldAliensWithin20m,Latitude,Longitude,PairID,RecordingNum,Year,Month,Day,Campaign,AVIRIS,LVIS,WetlandType,LandCoverClass,ElevationClass,FireClass
s2lam072_230826,"Not near (100 m) any water","Intermediate (6-17 yrs)","None",-33.015137,19.0562,512,708,23,8,26,"Wet season",Y,Y,,"Shrubland-Fynbos","Medium: 500-1000 m","6-to-12 years"
s2lam083_231025,"Not near (100 m) any water","Intermediate (6-17 yrs)","None",-33.015145,19.056224,512,695,23,10,25,"Dry season",Y,Y,,"Shrubland-Fynbos","Medium: 500-1000 m","6-to-12 years"
s2lam044_231107,"Within 50 m of a river or stream","Old (> 17 yrs)","None",-33.509923,23.91387,511,960,23,11,7,"Dry season",Y,Y,,"Grassland","Medium: 500-1000 m","No data or No Fire"
s2lam127_230822,"Not available","Not available","Not available",-33.509515,23.9143,511,872,23,8,22,"Wet season",Y,Y,,"Grassland","Medium: 500-1000 m","No data or No Fire"
s2lam016_230818,"Not available","Not available","Not available",-33.9866,23.5346,510,885,23,8,18,"Wet season",Y,Y,"Estuary","Forest-Woodland","Low: 0-500 m","No data or No Fire"
s2lam040_231125,"Within 50 m of a river or stream","Old (> 17 yrs)","None",-33.987046,23.534931,510,595,23,11,25,"Dry season",Y,Y,"Estuary","Forest-Woodland","Low: 0-500 m","No data or No Fire"
s2lam083_230705,"Not available","Not available","Not available",-32.139216,19.018216,509,1279,23,7,5,"Wet season",Y,Y,,"Shrubland-Fynbos","Medium: 500-1000 m","6-to-12 years"
s2lam186_231122,"Not near (100 m) any water","Young (burned, < 6 yrs)","Rare to Very Scattered",-32.138872,19.018572,509,423,23,11,22,"Dry season",Y,Y,,"Shrubland-Fynbos","Medium: 500-1000 m","6-to-12 years"
s2lam049_231130,"Within 50 m of a river or stream","Intermediate (6-17 yrs)","None",-34.321658,18.972487,508,606,23,11,30,"Dry season",Y,Y,"Channelled valley-bottom","Shrubland-Fynbos","Low: 0-500 m","6-to-12 years"
s2lam128_230703,"Not available","Not available","Not available",-34.3222,18.9729,508,1116,23,7,3,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","6-to-12 years"
s2lam045_231016,"Not near (100 m) any water","Intermediate (6-17 yrs)","None",-34.72459,19.772833,507,564,23,10,16,"Dry season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam105_230705,"Not available","Not available","Not available",-34.72572,19.7733,507,709,23,7,5,"Wet season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam045_230705,"Not available","Not available","Not available",-34.738445,19.787887,506,707,23,7,5,"Wet season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam136_231016,"In or near (25 m) wetland","Intermediate (6-17 yrs)","Scattered to Medium",-34.740038,19.788252,506,563,23,10,16,"Dry season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam078_231016,"In or near (25 m) wetland","Intermediate (6-17 yrs)","Rare to Very Scattered",-34.741615,19.79605,505,564,23,10,16,"Dry season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam084_230705,"Not available","Not available","Not available",-34.7412,19.7983,505,705,23,7,5,"Wet season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam073_230705,"Not available","Not available","Not available",-33.942448,19.170484,504,584,23,7,5,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","1-to-6 years"
s2lam178_231123,"Not near (100 m) any water","Young (burned, < 6 yrs)","Dense to Closed",-33.942122,19.169778,504,430,23,11,23,"Dry season",Y,Y,,"Wetland","Low: 0-500 m","1-to-6 years"
s2lam051_231113,"Not available","Intermediate (6-17 yrs)","None",-33.975987,20.839731,503,1311,23,11,13,"Dry season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","1-to-6 years"
s2lam098_230712,"Not available","Not available","Not available",-33.9766,20.839877,503,714,23,7,12,"Wet season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","1-to-6 years"
s2lam085_231108,"Not near (100 m) any water","Young (burned, < 6 yrs)","None",-34.344118,18.86318,502,869,23,11,8,"Dry season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","1-to-6 years"
s2lam132_230822,"Not available","Not available","Not available",-34.3441,18.863163,502,840,23,8,22,"Wet season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","1-to-6 years"
s2lam111_231025,"Not near (100 m) any water","Old (> 17 yrs)","None",-33.485558,20.497028,501,852,23,10,25,"Dry season",Y,N,,"Shrubland-Karoo","Medium: 500-1000 m","No data or No Fire"
s2lam137_230725,"Not available","Not available","Not available",-33.4856,20.497,501,999,23,7,25,"Wet season",Y,N,,"Shrubland-Karoo","Medium: 500-1000 m","No data or No Fire"
s2lam054_230725,"Not available","Not available","Not available",-34.3748,20.5348,500,714,23,7,25,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam058_231110,"Not near (100 m) any water","Intermediate (6-17 yrs)","Scattered to Medium",-34.374848,20.534918,500,727,23,11,10,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam123_230710,"Not available","Not available","Not available",-34.0595,20.4315,499,1295,23,7,10,"Wet season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam139_231009,"Not near (100 m) any water","Intermediate (6-17 yrs)","None",-34.059617,20.431553,499,1470,23,10,9,"Dry season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam054_230807,"Not available","Not available","Not available",-34.700215,20.1311,498,575,23,8,7,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","1-to-6 years"
s2lam120_231117,"Not near (100 m) any water","Intermediate (6-17 yrs)","None",-34.700188,20.131092,498,583,23,11,17,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","1-to-6 years"
s2lam020_231010,"Not near (100 m) any water","Old (> 17 yrs)","None",-34.803752,19.941432,497,695,23,10,10,"Dry season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam105_230812,"Not available","Not available","Not available",-34.8038,19.9414,497,710,23,8,12,"Wet season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam010_231011,"In or near (10 m) seep","Not available","Rare to Very Scattered",-34.311841,18.429374,496,1005,23,10,11,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam015_230710,"Not available","Not available","Not available",-34.311886,18.429389,496,571,23,7,10,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam119_231026,"Not near (100 m) any water","Young (burned, < 6 yrs)","None",-33.515512,20.575432,495,854,23,10,26,"Dry season",Y,N,,"Shrubland-Fynbos","High: >1000 m","1-to-6 years"
s2lam135_230802,"Not available","Not available","Not available",-33.515527,20.5754,495,715,23,8,2,"Wet season",Y,N,,"Shrubland-Fynbos","High: >1000 m","1-to-6 years"
s2lam030_230811,"Not available","Not available","Not available",-32.1977,19.0944,494,1530,23,8,11,"Wet season",Y,Y,,"Grassland","Medium: 500-1000 m","6-to-12 years"
s2lam092_231031,"Not near (100 m) any water","Intermediate (6-17 yrs)","None",-32.197751,19.094085,494,687,23,10,31,"Dry season",Y,Y,,"Grassland","Medium: 500-1000 m","6-to-12 years"
s2lam078_231010,"Not available","Old (> 17 yrs)","None",-34.809432,19.944318,493,715,23,10,10,"Dry season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam116_230812,"Not available","Not available","Not available",-34.809442,19.944388,493,709,23,8,12,"Wet season",Y,N,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam020_230810,"Not available","Not available","Not available",-33.9565,21.2232,492,872,23,8,10,"Wet season",Y,N,,"Shrubland-Fynbos","Medium: 500-1000 m","1-to-6 years"
s2lam161_231109,"Not near (100 m) any water","Young (burned, < 6 yrs)","None",-33.956487,21.223185,492,547,23,11,9,"Dry season",Y,N,,"Shrubland-Fynbos","Medium: 500-1000 m","1-to-6 years"
s2lam016_230718,"Not available","Not available","Not available",-34.0677,22.948966,491,579,23,7,18,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","1-to-6 years"
s2lam074_231027,"Not near (100 m) any water","Intermediate (6-17 yrs)","Rare to Very Scattered",-34.067685,22.948984,491,721,23,10,27,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","1-to-6 years"
s2lam098_231029,"Not near (100 m) any water","Intermediate (6-17 yrs)","None",-34.635096,19.583363,490,975,23,10,29,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam101_230630,"Not available","Not available","Not available",-34.635407,19.583603,490,566,23,6,30,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam042_230710,"Not available","Not available","Not available",-34.3316,18.46297,489,573,23,7,10,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam133_231011,"Not near (100 m) any water","Not available","Rare to Very Scattered",-34.331579,18.462966,489,1004,23,10,11,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam041_230718,"Not available","Not available","Not available",-34.073519,22.9652,488,571,23,7,18,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","1-to-6 years"
s2lam041_231027,"Not near (100 m) any water","Old (> 17 yrs)","Scattered to Medium",-34.07359,22.965158,488,722,23,10,27,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","1-to-6 years"
s2lam057_230807,"Not available","Not available","Not available",-33.1529,18.1214,487,171,23,8,7,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam080_231128,"Not near (100 m) any water","Intermediate (6-17 yrs)","None",-33.152879,18.121392,487,1281,23,11,28,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam108_231106,"Not available","Not available","Not available",-33.677361,21.551764,486,1130,23,11,6,"Dry season",Y,N,,"Shrubland-Fynbos","High: >1000 m","1-to-6 years"
